130976 1501.97 1241.30 15.805  1.603 14.201  89   1 0.006 6126  13 0.003
130977 1436.52 1244.40 15.681  1.888 13.793  90   0 0.007 6132   7 0.004
130983 1616.62 1350.02 15.995  2.166 13.829  89   1 0.006 6132   5 0.004
130989 1493.23 1427.44 15.300  2.272 13.027  90   0 0.009 6138   1 0.006
130993 1503.84 1443.21 16.143  2.385 13.758  90   0 0.007 6133   6 0.004
131000 1497.85 1511.86 16.016  1.948 14.069  90   0 0.006 6133   6 0.003
131001 1543.73 1516.94 14.626  0.878 13.748  90   0 0.003 6121  18 0.003
131002 1435.85 1530.61 15.719  1.790 13.929  90   0 0.006 6134   5 0.003
131003 1599.99 1536.78 17.294  3.953 13.341  90   0 0.044 6138   0 0.021
131004 1590.08 1540.61 15.963  2.126 13.837  89   1 0.007 6138   1 0.005
131007 1515.79 1560.50 17.043  3.397 13.646  90   0 0.042 6139   0 0.017
131008 1426.06 1561.87 16.391  2.784 13.607  90   0 0.013 6136   3 0.005
131012 1557.09 1577.70 17.615  4.302 13.313  90   0 0.087 6139   0 0.044
131014 1580.15 1609.48 15.329  2.119 13.210  90   0 0.005 6133   6 0.003
131016 1608.41 1632.23 15.485  1.625 13.860  90   0 0.004 6131   6 0.004
131019 1465.98 1664.14 14.765  1.457 13.307  90   0 0.003 6115  24 0.003
131020 1468.87 1674.12 16.032  1.908 14.123  90   0 0.005 6130   9 0.004
131046 1478.29 1246.54 15.762  1.001 14.760  90   0 0.004 6126  13 0.004
131047 1613.88 1250.34 15.067  0.841 14.226  90   0 0.004 6119  18 0.003
131054 1642.91 1281.97 16.727  1.719 15.008  89   1 0.007 6131   6 0.005
131061 1510.02 1329.71 16.521  1.617 14.904  90   0 0.007 6129  10 0.004
131062 1604.60 1328.82 16.571  1.650 14.921  90   0 0.007 6129   8 0.005
131063 1620.42 1332.99 16.834  1.839 14.995  90   0 0.008 6123  14 0.005
131064 1584.12 1349.74 15.175  0.863 14.312  90   0 0.004 6126  13 0.003
131065 1415.66 1354.75 16.842  1.825 15.017  90   0 0.007 6125  14 0.005
131067 1552.70 1358.90 16.737  1.690 15.047  89   1 0.006 6128  11 0.005
131068 1628.98 1360.06 16.424  1.791 14.633  90   0 0.006 6126  11 0.004
131070 1535.36 1373.52 16.437  1.841 14.596  90   0 0.007 6125  14 0.004
131073 1515.35 1380.97 16.016  1.120 14.896  90   0 0.006 6126  13 0.005
