     1  225.15  376.70 15.371  2.358 13.013   7   1 0.005  255   2 0.011
     8  305.61  247.62 19.377  5.172 14.205   7   1 0.034  246   0 0.032
    14  293.17  420.26 21.501  6.495 15.006   5   0 0.854  259   0 0.921
    18  244.21  544.38 17.597  3.335 14.263   8   0 0.015  256   1 0.004
    24  125.42  166.65 15.987  9.999 99.999   3   0 0.024    0   0 9.999
    32  185.44  274.65 19.188  4.247 14.941   8   0 0.026  245   1 0.007
    34  284.52  286.55 18.613  3.994 14.619   8   0 0.025  256   0 0.008
    38  290.66  318.11 21.688  6.637 15.051   8   0 0.159  258   0 0.058
    46  164.39  459.43 19.992  5.408 14.584   8   0 0.202  245   0 0.081
    47  193.76  461.18 19.915  5.505 14.409   8   0 0.073  252   0 0.037
    48  261.73  465.83 17.532  2.744 14.788   8   0 0.016  256   2 0.005
    94  178.23  197.62 19.895  4.070 15.825   6   0 0.082  171   1 0.009
    96  121.92  204.36 20.099  9.999 99.999   5   0 0.022    0   0 9.999
    99  175.17  230.07 20.767  4.740 16.027   7   1 0.064  227   1 0.011
   100  202.98  231.47 20.358  4.444 15.915   8   0 0.063  234   0 0.010
   103  137.04  241.11 18.073  2.052 16.021   7   0 0.036  205   1 0.009
   117  171.37  336.10 19.988  4.429 15.560   8   0 0.084  244   2 0.008
   122  114.10  395.47 17.333  1.527 15.806   7   0 0.021  182   1 0.009
   124  205.85  410.79 17.861  1.846 16.015   7   1 0.011  251   3 0.009
   126  154.02  426.58 18.040  2.790 15.250   8   0 0.015  237   2 0.006
   129   84.05  436.27 19.771  9.999 99.999   5   1 0.030    0   0 9.999
   131  105.77  466.94 20.092  4.056 16.036   6   0 0.066  169   1 0.010
   135  265.32  494.54 20.321  4.427 15.894   7   1 0.030  258   0 0.008
   137  306.86  502.43 20.190  4.153 16.037   8   0 0.050  258   1 0.009
   143  163.40  539.36 17.430  1.619 15.810   8   0 0.016  244   0 0.008
   212  204.98  406.67 18.558  1.825 16.733   8   0 0.030  253   0 0.016
   218  127.69  178.58 99.999  9.999 99.999   0   0 9.999    0   0 9.999
   220  212.88  182.94 21.370  4.520 16.849   5   0 0.170  138   0 0.018
   228  199.56  210.49 21.868  5.293 16.575   6   0 0.262  204   0 0.018
   232  168.95  236.82 20.573  3.938 16.635   8   0 0.033  227   1 0.015
   234  293.31  243.73 20.671  3.934 16.737   8   0 0.098  243   0 0.017
   236  325.56  253.23 21.610  4.983 16.627   8   0 0.228  250   0 0.016
   240  197.32  274.74 21.127  4.181 16.946   8   0 0.128  247   3 0.016
   242  218.07  280.89 21.475  4.671 16.803   7   1 0.076  255   0 0.014
   246  329.68  285.91 20.385  4.077 16.308   8   0 0.070  257   0 0.011
   251  219.39  319.71 20.686  3.764 16.922   7   1 0.031  257   0 0.014
   254  191.94  327.68 21.202  4.179 17.024   8   0 0.247  251   1 0.015
   257  322.80  341.65 20.717  3.973 16.744   8   0 0.109  258   1 0.013
   259  224.76  351.35 18.800  2.042 16.758   7   1 0.016  254   3 0.013
   262   89.90  361.96 18.008  1.848 16.161   6   0 0.035  133   2 0.013
   263  302.76  361.15 20.430  3.664 16.766   8   0 0.072  258   1 0.013
   266  253.06  372.92 20.678  3.445 17.234   7   1 0.030  257   0 0.021
   275  266.45  419.09 20.587  4.063 16.525   8   0 0.071  258   0 0.013
   276  230.64  422.32 20.474  3.701 16.773   8   0 0.051  256   1 0.013
   280  162.89  424.93 20.529  3.912 16.617   8   0 0.070  243   1 0.012
   284  155.61  445.59 18.270  2.001 16.268   8   0 0.024  241   0 0.010
   290  310.78  463.86 20.703  3.809 16.894   8   0 0.099  257   2 0.013
   296  259.19  488.38 18.441  2.159 16.282   8   0 0.014  257   0 0.009
   299  324.24  492.73 20.834  4.223 16.612   8   0 0.148  259   0 0.010
   309  206.36  541.46 20.728  3.750 16.979   8   0 0.092  253   1 0.015
   310  320.62  541.36 20.432  3.804 16.628   8   0 0.030  258   1 0.012
   322  267.03  561.02 99.999  9.999 16.324   0   0 9.999  258   0 0.148
   504  249.84  370.43 22.455  4.705 17.750   8   0 0.475  256   1 0.026
   508  316.13  542.51 21.186  3.543 17.642   8   0 0.072  259   0 0.028
   522  299.02  165.94 21.248  9.999 99.999   4   0 0.099    0   0 9.999
   526  236.39  166.68 21.484  9.999 99.999   4   0 0.225    0   0 9.999
   527  283.04  168.39 21.041  9.999 99.999   4   0 0.088    0   0 9.999
   531  143.97  172.14 21.349  9.999 99.999   3   0 0.089    0   0 9.999
   535  143.42  176.51 99.999  9.999 17.725   0   0 9.999   96   1 0.066
   536  229.93  182.01 20.696  3.284 17.412   5   0 0.136  135   0 0.024
   542  302.72  184.88 21.236  3.471 17.765   5   0 0.140  150   0 0.029
   550  254.53  192.76 19.194  2.086 17.108   6   0 0.035  170   0 0.015
   552  280.23  194.47 21.108  3.646 17.462   6   0 0.186  172   1 0.021
   554  228.16  196.67 21.437  3.594 17.843   6   0 0.137  179   1 0.025
   555  271.84  200.54 21.719  4.017 17.702   6   0 0.266  195   0 0.028
   559  149.13  203.28 19.630  2.026 17.604   5   1 0.014  178   0 0.023
   561  302.23  205.14 21.746  4.212 17.534   6   0 0.156  204   0 0.023
   574  311.29  220.60 21.593  3.841 17.752   7   1 0.105  226   1 0.028
   576  254.57  222.14 20.914  3.804 17.110   8   0 0.097  228   1 0.017
   585  207.16  235.06 21.673  3.896 17.778   8   0 0.197  235   0 0.035
   597  278.84  252.28 20.955  3.828 17.127   8   0 0.144  249   0 0.020
   599   75.04  252.78 21.008  9.999 99.999   6   0 0.113    0   0 9.999
   602  277.99  257.29 20.127  2.796 17.331   8   0 0.061  251   0 0.020
   604  189.65  261.81 21.381  4.100 17.280   8   0 0.155  240   3 0.018
   614  169.55  269.19 21.687  3.977 17.710   8   0 0.291  241   0 0.025
   615  186.99  270.38 21.457  3.940 17.517   8   0 0.141  244   1 0.037
