141842 1999.19 2402.92 15.106  2.162 12.944  22   0 0.003  415   1 0.007
141843 2196.71 2497.95 15.978  2.446 13.532  18   1 0.006  333   1 0.004
141844 1852.95 2499.29 16.565  3.390 13.175  22   0 0.014  418   0 0.008
141846 1883.44 2657.74 16.358  3.248 13.110  22   0 0.015  418   0 0.009
141847 2106.31 2686.78 15.354  2.730 12.624  21   1 0.005  406   1 0.011
141848 1993.62 2744.08 15.434  2.460 12.975  22   0 0.005  417   0 0.007
141850 1864.97 2350.05 19.338  5.290 14.049  20   0 0.097  418   0 0.055
141851 2104.82 2357.38 16.046  2.149 13.897  22   0 0.005  408   0 0.003
141852 1899.21 2358.20 16.767  2.631 14.137  22   0 0.006  418   0 0.003
141853 1962.96 2370.23 17.043  3.009 14.035  22   0 0.009  417   0 0.004
141856 2100.11 2391.31 18.213  3.941 14.272  21   0 0.019  408   0 0.007
141857 2170.70 2431.03 17.421  3.292 14.129  21   0 0.013  377   0 0.006
141858 2004.05 2436.54 17.127  3.071 14.056  22   0 0.006  415   1 0.003
141859 1827.99 2446.34 18.043  3.988 14.055  21   0 0.032  418   0 0.008
141860 1866.20 2461.09 16.874  2.839 14.035  22   0 0.007  417   1 0.004
141861 2155.02 2475.69 16.396  2.783 13.613  22   0 0.007  388   1 0.004
141863 2061.79 2547.26 17.460  3.209 14.251  22   0 0.012  413   0 0.006
141864 2021.99 2571.86 16.480  2.870 13.610  22   0 0.010  416   0 0.005
141865 1900.30 2575.26 17.360  3.055 14.305  22   0 0.008  418   0 0.004
141866 1959.83 2648.09 17.241  3.531 13.711  22   0 0.018  417   0 0.007
141867 2102.08 2658.50 16.564  2.464 14.100  22   0 0.008  407   1 0.004
141869 2012.65 2744.87 18.062  4.086 13.976  22   0 0.028  416   0 0.011
141881 2127.56 2336.53 17.813  2.857 14.956  22   0 0.016  399   0 0.005
141882 1857.20 2341.69 17.540  2.461 15.079  22   0 0.009  416   2 0.006
141883 1836.51 2350.84 17.454  2.913 14.541  22   0 0.011  417   1 0.004
141884 2064.20 2359.08 17.390  2.666 14.724  22   0 0.010  412   1 0.004
141886 2187.68 2392.01 17.637  2.980 14.657  20   0 0.013  351   0 0.005
