# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_0928.dat PSPL     2460951.571 0.676631 10.669 0.000000 0.00000 0.00000 0.00000 728.94833 0.000 0.000
WFIRST_1637.dat PSPL     2460952.775 0.593887 19.539 0.000000 0.00000 0.00000 0.00000 241.17423 0.000 0.000
WFIRST_0019.dat PSPL     2460957.944 0.704931 50.161 0.000000 0.00000 0.00000 0.00000 3184.60357 0.000 0.000
WFIRST_0592.dat PSPL     2460966.248 0.298667 26.872 0.000000 0.00000 0.00000 0.00000 24.44588 0.000 0.000
WFIRST_1365.dat PSPL     2460939.910 0.417623 86.521 0.000000 0.00000 0.00000 0.00000 2385.15873 0.000 0.000
WFIRST_0061.dat PSPL     2460952.119 0.612947 51.331 0.000000 0.00000 0.00000 0.00000 245.23848 0.000 0.000
WFIRST_1144.dat PSPL     2460944.341 0.659062 30.586 0.000000 0.00000 0.00000 0.00000 109.04394 0.000 0.000
WFIRST_1401.dat PSPL     2460957.516 0.475594 76.998 0.000000 0.00000 0.00000 0.00000 25.46968 0.000 0.000
WFIRST_2196.dat PSPL     2460950.036 0.835893 29.866 0.000000 0.00000 0.00000 0.00000 627.40428 0.000 0.000
WFIRST_1988.dat PSPL     2460942.626 0.249471 73.678 0.000000 0.00000 0.00000 0.00000 77.16616 0.000 0.000
WFIRST_0551.dat PSPL     2460947.145 0.069330 6.460 0.000000 0.00000 0.00000 0.00000 4132.61064 0.000 0.000
WFIRST_1960.dat PSPL     2460957.437 0.292281 56.571 0.000000 0.00000 0.00000 0.00000 28.05645 0.000 0.000
WFIRST_0000.dat PSPL     2460971.415 0.044117 27.067 0.000000 0.00000 0.00000 0.00000 43.18799 0.000 0.000
WFIRST_1291.dat PSPL     2460954.838 0.402578 53.904 0.000000 0.00000 0.00000 0.00000 4501.75950 0.000 0.000
WFIRST_0397.dat PSPL     2460946.278 0.021189 35.274 0.000000 0.00000 0.00000 0.00000 4174.26490 0.000 0.000
WFIRST_2418.dat Binary   2460952.293 0.079653 49.858 0.000554 -0.02794 -0.94700 -1.11040 225.53322 0.000 0.000
WFIRST_0774.dat Binary   2460945.003 0.084766 13.565 0.002300 0.09236 -0.51429 -1.64902 227.57769 0.000 0.000
WFIRST_2168.dat Binary   2460967.702 0.109316 60.432 0.004185 0.13484 -0.07589 -2.88473 166.59539 0.000 0.000
WFIRST_1084.dat Binary   2460944.598 0.183039 20.973 0.000174 0.07360 -0.32587 -2.71896 5043.29610 0.000 0.000
WFIRST_2055.dat Binary   2460956.908 0.134098 24.667 0.000179 0.02785 -0.31776 3.13909 1074.43193 0.000 0.000
WFIRST_2194.dat GLPlanet 2460950.014 0.021160 24.693 0.000391 0.16389 -4.58722 -0.02738 571.62487 0.000 19.075
WFIRST_0204.dat GLPlanet 2460941.170 0.448746 44.690 0.006434 0.10971 -4.37124 -2.06824 69.33398 0.000 -10.889
WFIRST_2490.dat GLPlanet 2460963.309 0.487532 61.350 0.007043 0.11070 -4.33312 -1.90085 84.36105 0.000 -10.247
