\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "3169"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455376.629140"
\MAXIMUM_DATE                         = "2456219.552660"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "15.1040"
\MAXIMUM_VALUE                        = "17.3621"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "Warsaw University Telescope (1.3 m)"
\INSTRUMENT                           = "32-CCD mosaic camera"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Las Campanas Observatory, Chile"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455376.629140              17.2648                   0.0275
   2455376.641900              17.2943                   0.0260
   2455376.682790              17.2664                   0.0246
   2455376.695920              17.2950                   0.0246
   2455376.708990              17.2757                   0.0246
   2455376.721730              17.2659                   0.0260
   2455376.734130              17.2537                   0.0232
   2455376.747250              17.3191                   0.0275
   2455376.760110              17.2986                   0.0246
   2455376.772940              17.3203                   0.0260
   2455376.785550              17.2882                   0.0232
   2455376.798250              17.2850                   0.0232
   2455376.811110              17.3261                   0.0289
   2455376.823730              17.3244                   0.0303
   2455376.849020              17.2330                   0.0317
   2455377.517740              17.3330                   0.0275
   2455377.530990              17.2715                   0.0232
   2455377.545620              17.2764                   0.0246
   2455377.559750              17.2581                   0.0232
   2455377.573820              17.2662                   0.0232
   2455377.626540              17.2580                   0.0219
   2455377.647460              17.2632                   0.0205
   2455377.667270              17.2585                   0.0205
   2455377.681840              17.2860                   0.0205
   2455377.700190              17.2882                   0.0205
   2455377.713120              17.2750                   0.0191
   2455377.730760              17.3014                   0.0205
   2455377.743690              17.3118                   0.0219
   2455377.756180              17.2588                   0.0205
   2455377.786400              17.2709                   0.0219
   2455377.798860              17.3014                   0.0232
   2455377.811510              17.2724                   0.0219
   2455377.824100              17.2668                   0.0205
   2455377.837030              17.2860                   0.0219
   2455377.849710              17.2972                   0.0232
   2455377.862260              17.2841                   0.0260
   2455378.491370              17.3132                   0.0232
   2455378.505890              17.2952                   0.0205
   2455378.520050              17.2958                   0.0205
   2455378.533840              17.2820                   0.0205
   2455378.547540              17.3154                   0.0205
   2455378.561680              17.3044                   0.0191
   2455378.575540              17.2824                   0.0178
   2455378.589640              17.3019                   0.0191
   2455378.603870              17.2798                   0.0191
   2455378.617910              17.2934                   0.0191
   2455378.632220              17.2804                   0.0191
   2455378.646380              17.2819                   0.0191
   2455378.662130              17.2788                   0.0178
   2455378.677960              17.3057                   0.0191
   2455378.692380              17.2551                   0.0191
   2455378.706810              17.2978                   0.0191
   2455378.721200              17.2860                   0.0178
   2455378.734100              17.2980                   0.0178
   2455378.746900              17.2954                   0.0191
   2455378.759490              17.3023                   0.0178
   2455378.772160              17.2706                   0.0178
   2455378.785050              17.3085                   0.0191
   2455378.798050              17.3030                   0.0205
   2455378.810650              17.3115                   0.0205
   2455378.823280              17.3024                   0.0205
   2455378.837920              17.2962                   0.0219
   2455378.850560              17.2777                   0.0219
   2455378.863210              17.3004                   0.0260
   2455378.875630              17.2868                   0.0246
   2455379.489470              17.3152                   0.0246
   2455379.502030              17.2916                   0.0205
   2455379.514650              17.3058                   0.0232
   2455379.527400              17.3074                   0.0219
   2455379.541380              17.2900                   0.0205
   2455379.555730              17.2970                   0.0205
   2455379.570020              17.2774                   0.0205
   2455379.584310              17.2973                   0.0205
