\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "222"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455739.322931"
\MAXIMUM_DATE                         = "2455780.280853"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "17.1180"
\MAXIMUM_VALUE                        = "18.1810"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "Wise Observatory (1.0 m)"
\INSTRUMENT                           = "four-CCD mosaic camera"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Wise Observatory, Israel"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455739.322931              16.2912                   0.0311
   2455739.344380              16.3420                   0.0328
   2455739.372716              16.2821                   0.0304
   2455739.393874              16.2588                   0.0277
   2455739.415458              16.3146                   0.0273
   2455739.436627              16.3394                   0.0281
   2455739.458074              16.2977                   0.0305
   2455739.479362              16.3042                   0.0318
   2455739.500730              16.3094                   0.0332
   2455740.302577              16.2485                   0.0547
   2455740.324592              16.2063                   0.0555
   2455740.346162              16.2127                   0.0404
   2455740.367377              16.2473                   0.0360
   2455740.388833              16.2899                   0.0344
   2455740.416620              16.2370                   0.0386
   2455740.437728              16.2679                   0.0388
   2455740.459174              16.1859                   0.0434
   2455740.480678              16.2834                   0.0436
   2455741.335152              16.1404                   0.0437
   2455741.356540              16.1417                   0.0359
   2455741.377975              16.1442                   0.0503
   2455741.399248              16.1228                   0.0592
   2455741.420451              16.1923                   0.0667
   2455741.441758              16.1518                   0.0543
   2455743.285893              15.9939                   0.0426
   2455743.307373              16.0667                   0.0304
   2455743.328797              16.0518                   0.0347
   2455743.350162              16.1216                   0.0320
